V1,V2,,,
متع,positive,,,
متعت,positive,,,
متعتكم,positive,,,
متعته,positive,,,
متعتها,positive,,,
متعتوا,positive,,,
متعني,positive,,,
متفائله,positive,,,
متفائلين,positive,,,
متفالين,positive,,,
متقدم,positive,,,
متميز,positive,,,
متميزين,positive,,,
متواضع,positive,,,
متوج,positive,,,
متوجا,positive,,,
متوهجا,positive,,,
متيم,positive,,,
متيمين,positive,,,
مثالي,positive,,,
مثاليا,positive,,,
مثقف,positive,,,
مثير,positive,,,
مثيره,positive,,,
مجتهد,positive,,,
مجد,positive,,,
مجده,positive,,,
مجنون,positive,,,
مجهود,positive,,,
مجهوده,positive,,,
محارب,positive,,,
محال,positive,,,
محب,positive,,,
محبتنا,positive,,,
محبتي,positive,,,
محبكم,positive,,,
محبوبين,positive,,,
محبي,positive,,,
محبيك,positive,,,
محبين,positive,,,
محبيه,positive,,,
محترف,positive,,,
محترفين,positive,,,
محترم,positive,,,
محترمو,positive,,,
محروس,positive,,,
محظوظ,positive,,,
محلى,positive,,,
محنك,positive,,,
مخلصين,positive,,,
مدحك,positive,,,
مذهل,positive,,,
مذهله,positive,,,
مرتاحه,positive,,,
مرجله,positive,,,
مرحب,positive,,,
مرحبا,positive,,,
مرضي,positive,,,
مرعب,positive,,,
مروق,positive,,,
مروقين,positive,,,
مسانده,positive,,,
مستحق,positive,,,
مستمتعين,positive,,,
مشتاق,positive,,,
مشجع,positive,,,
مشرف,positive,,,
مشرفين,positive,,,
مشكور,positive,,,
مطربني,positive,,,
معانقته,positive,,,
معبره,positive,,,
معجب,positive,,,
معجبينه,positive,,,
معشوقته,positive,,,
معشوقنا,positive,,,
معشوقه,positive,,,
معشوقي,positive,,,
معلم,positive,,,
مغايره,positive,,,
مفاتن,positive,,,
مفخر,positive,,,
مفخره,positive,,,
مقاتل,positive,,,
مكاسبه,positive,,,
مكتسبات,positive,,,
مكتسح,positive,,,
ملك,positive,,,
ملكي,positive,,,
ملكيه,positive,,,
ملوك,positive,,,
ممتازا,positive,,,
ممتازين,positive,,,
ممتع,positive,,,
ممتعين,positive,,,
مميزين,positive,,,
منتشي,positive,,,
منتصر,positive,,,
منتصرا,positive,,,
منصورين,positive,,,
منظم,positive,,,
منقلب,positive,,,
منى,positive,,,
مهارات,positive,,,
مهاري,positive,,,
مهجد,positive,,,
مهم,positive,,,
موثر,positive,,,
موجه,positive,,,
موسوعه,positive,,,
موسيقار,positive,,,
مولع,positive,,,
موهبه,positive,,,
ميزات,positive,,,
ناصعه,positive,,,
نتباهى,positive,,,
نتقبل,positive,,,
نتوجها,positive,,,
نثني,positive,,,
نجا,positive,,,
نجح,positive,,,
نجحت,positive,,,
نجم,positive,,,
نجما,positive,,,
نجمها,positive,,,
نجوم,positive,,,
نجوما,positive,,,
نجومكم,positive,,,
نجومنا,positive,,,
نجومه,positive,,,
نجومهم,positive,,,
نجوميته,positive,,,
نجونا,positive,,,
نحب,positive,,,
نحفز,positive,,,
ندعمه,positive,,,
نزاهه,positive,,,
نزيه,positive,,,
نشكره,positive,,,
نصر,positive,,,
نصركم,positive,,,
نصرنا,positive,,,
نصيب,positive,,,
نضيف,positive,,,
نظيفه,positive,,,
نعشق,positive,,,
نعشقه,positive,,,
نعيما,positive,,,
نفدا,positive,,,
نفرحهم,positive,,,
نمدحه,positive,,,
نهدي,positive,,,
نهديكم,positive,,,
نهديه,positive,,,
نهنئكم,positive,,,
نورت,positive,,,
هاتريك,positive,,,
هالابتسامه,positive,,,
هالفرحه,positive,,,
هالنعمه,positive,,,
هامات,positive,,,
هتركهم,positive,,,
هداف,positive,,,
هدفه,positive,,,
هدفين,positive,,,
هدوا,positive,,,
هديه,positive,,,
هزم,positive,,,
هزمنا,positive,,,
هكر,positive,,,
هلا,positive,,,
هلال,positive,,,
هلالنا,positive,,,
همه,positive,,,
هواه,positive,,,
هوايه,positive,,,
هوى,positive,,,
هيام,positive,,,
هيبتك,positive,,,
هيبته,positive,,,
وافي,positive,,,
وحش,positive,,,
ود,positive,,,
ورد,positive,,,
وسام,positive,,,
وسعت,positive,,,
وطني,positive,,,
وطنيه,positive,,,
وفي,positive,,,
وفيتوا,positive,,,
ولبى,positive,,,
ولع,positive,,,
ونعم,positive,,,
وهج,positive,,,
يباركون,positive,,,
يبدع,positive,,,
يبدعون,positive,,,
يبرد,positive,,,
يبرز,positive,,,
يبشر,positive,,,
يبهرك,positive,,,
يبهرنا,positive,,,
يتالق,positive,,,
يتاهل,positive,,,
يتباهى,positive,,,
يتجرا,positive,,,
يتجلى,positive,,,
يتصدر,positive,,,
يتصدى,positive,,,
يتغنى,positive,,,
يتفاخر,positive,,,
يتفننون,positive,,,
يتفوق,positive,,,
يتقدم,positive,,,
يتقن,positive,,,
يتمم,positive,,,
يتميز,positive,,,
يتنزه,positive,,,
يتوج,positive,,,
يتوجها,positive,,,
يثبت,positive,,,
يثني,positive,,,
يجمل,positive,,,
يجيد,positive,,,
يحبه,positive,,,
يحبون,positive,,,
يحبي,positive,,,
يحترم,positive,,,
يحترمني,positive,,,
يحتفل,positive,,,
يحتفي,positive,,,
يحضك,positive,,,
يحظ,positive,,,
يحلا,positive,,,
يحلق,positive,,,
يحلى,positive,,,
يحمسون,positive,,,
يحميك,positive,,,
يحميه,positive,,,
يحميهم,positive,,,
يحيي,positive,,,
يحييك,positive,,,
يخلص,positive,,,
يخليلي,positive,,,
يدافع,positive,,,
يدبك,positive,,,
يدعم,positive,,,
يدك,positive,,,
يديمك,positive,,,
يرحب,positive,,,
يرحمك,positive,,,
يرزقنا,positive,,,
يرزك,positive,,,
يرضينا,positive,,,
يرعب,positive,,,
يروق,positive,,,
يزف,positive,,,
يزين,positive,,,
يستاهلو,positive,,,
يستحقه,positive,,,
يستر,positive,,,
يسجل,positive,,,
يسحق,positive,,,
يسر,positive,,,
يسعد,positive,,,
يسعدلي,positive,,,
يسعدنا,positive,,,
يسعدني,positive,,,
يسعده,positive,,,
يسعدهم,positive,,,
يسلم,positive,,,
يسنعك,positive,,,
يشفي,positive,,,
يضرب,positive,,,
يطربك,positive,,,
يطمن,positive,,,
يطمنك,positive,,,
يطيب,positive,,,
يعافيك,positive,,,
يعدل,positive,,,
يعزف,positive,,,
يعشق,positive,,,
يعشقون,positive,,,
يعوضها,positive,,,
يغلى,positive,,,
يفتخر,positive,,,
يفخر,positive,,,
يفرح,positive,,,
يفرحك,positive,,,
يفرحكم,positive,,,
يفرحنا,positive,,,
يفرق,positive,,,
يفوزون,positive,,,
يقارع,positive,,,
يقدر,positive,,,
يقهوي,positive,,,
يقويه,positive,,,
يكتسح,positive,,,
يكتمل,positive,,,
يكرم,positive,,,
يلتهم,positive,,,
يلمع,positive,,,
يمتاز,positive,,,
يمتع,positive,,,
يمتعك,positive,,,
يمتعنا,positive,,,
يمزق,positive,,,
يميز,positive,,,
ينافس,positive,,,
ينافسون,positive,,,
ينتصر,positive,,,
ينجو,positive,,,
ينحب,positive,,,
ينصر,positive,,,
ينعش,positive,,,
ينعشك,positive,,,
ينقذ,positive,,,
ينير,positive,,,
يهتدي,positive,,,
يهتم,positive,,,
يهدونك,positive,,,
يهدي,positive,,,
يهوى,positive,,,
يوفي,positive,,,
يسانده,positive,,,
يساندون,positive,,,
OK,positive,,,
اتحداكم,positive,,,
احترمت,positive,,,
احسنت,positive,,,
احول,positive,,,
احيي,positive,,,
اريحيه,positive,,,
استمروا,positive,,,
استمري,positive,,,
اشكركم,positive,,,
اصابت,positive,,,
اضخم,positive,,,
اطهر,positive,,,
اعظمها,positive,,,
اكثر,positive,,,
الاعتذار,positive,,,
الذكي,positive,,,
الذيابه,positive,,,
الرائده,positive,,,
السرعه,positive,,,
السريع,positive,,,
الشامخ,positive,,,
العوض,positive,,,
الفل,positive,,,
القديره,positive,,,
اللوز,positive,,,
المثال,positive,,,
المصداقيه,positive,,,
اندمجت,positive,,,
اهنيكم,positive,,,
اوجعت,positive,,,
اوجعتهم,positive,,,
بالفخر,positive,,,
بتضبط,positive,,,
بحب,positive,,,
بحبك,positive,,,
بحبكن,positive,,,
بنجاح,positive,,,
تبدع,positive,,,
تحارب,positive,,,
تحبون,positive,,,
ترفع,positive,,,
تشكر,positive,,,
تعاونكم,positive,,,
تعزف,positive,,,
تفضل,positive,,,
تنافسون,positive,,,
تنبض,positive,,,
تنحل,positive,,,
توحيد,positive,,,
توفر,positive,,,
حابين,positive,,,
حسن,positive,,,
حلت,positive,,,
حلوين,positive,,,
حياديه,positive,,,
ذهبي,positive,,,
رائده,positive,,,
راقيه,positive,,,
ريح,positive,,,
زاد,positive,,,
زوين,positive,,,
زياده,positive,,,
سرعات,positive,,,
سريع,positive,,,
سلطت,positive,,,
شطرا,positive,,,
شغال,positive,,,
شفافيه,positive,,,
شهاداتك,positive,,,
صادقين,positive,,,
صاروخيه,positive,,,
صريحه,positive,,,
ضحكتها,positive,,,
طاهر,positive,,,
طلعت,positive,,,
طياره,positive,,,
عرض,positive,,,
عرفت,positive,,,
عفويتها,positive,,,
فاضي,positive,,,
فرقت,positive,,,
فل,positive,,,
قيمتك,positive,,,
قيمه,positive,,,
كثير,positive,,,
كشف,positive,,,
كشفت,positive,,,
كشفتكم,positive,,,
كشفها,positive,,,
كويسين,positive,,,
لعيونكم,positive,,,
مؤثر,positive,,,
مستانسه,positive,,,
مشكورين,positive,,,
مصداقيه,positive,,,
معقول,positive,,,
مميزه,positive,,,
منشكر,positive,,,
منوره,positive,,,
ناجح,positive,,,
ناجحه,positive,,,
نبيل,positive,,,
نحبكن,positive,,,
يخليكم,positive,,,
يرفع,positive,,,
يميزه,positive,,,
ابتسامتك,positive,,,
ابتهاجا,positive,,,
ابطالها,positive,,,
اثلج,positive,,,
اثنى,positive,,,
احببنا,positive,,,
احببناه,positive,,,
احتراما,positive,,,
احتفال,positive,,,
احفظهم,positive,,,
احمي,positive,,,
ادب,positive,,,
ارحمهم,positive,,,
ارقى,positive,,,
ازدهرت,positive,,,
استبشري,positive,,,
استشهاد,positive,,,
استشهاده,positive,,,
استشهد,positive,,,
اشاوس,positive,,,
اطمئني,positive,,,
اطيب,positive,,,
اعز,positive,,,
اعزنا,positive,,,
اعزه,positive,,,
افدي,positive,,,
افذ,positive,,,
افرحي,positive,,,
اقبل,positive,,,
الاخلاص,positive,,,
الاصاله,positive,,,
الاغاثه,positive,,,
الامجاد,positive,,,
الانسانيه,positive,,,
الايمان,positive,,,
البشائر,positive,,,
البلسم,positive,,,
البنا,positive,,,
البناء,positive,,,
البواسل,positive,,,
التبريكات,positive,,,
التحيه,positive,,,
التضامن,positive,,,
التطوير,positive,,,
التعاطف,positive,,,
التنميه,positive,,,
التنوير,positive,,,
الجليل,positive,,,
الجنه,positive,,,
الحريه,positive,,,
الداعم,positive,,,
الرحيم,positive,,,
الزاكيه,positive,,,
السلميه,positive,,,
الشهاده,positive,,,
الشهداء,positive,,,
الشهيد,positive,,,
الصابرون,positive,,,
الصالح,positive,,,
الصالحين,positive,,,
الصامدون,positive,,,
الصبر,positive,,,
الصمود,positive,,,
الطف,positive,,,
العروبه,positive,,,
العزه,positive,,,
العطاء,positive,,,
العطره,positive,,,
العظمى,positive,,,
العقل,positive,,,
الغفور,positive,,,
الفذه,positive,,,
الفرج,positive,,,
الفردوس,positive,,,
الفضيله,positive,,,
القيود,positive,,,
الكرامه,positive,,,
المتضامنه,positive,,,
المجاهد,positive,,,
المجاهدون,positive,,,
المجددين,positive,,,
المخلص,positive,,,
المدعوم,positive,,,
المرح,positive,,,
المشرفه,positive,,,
المضيئه,positive,,,
المقدس,positive,,,
النصير,positive,,,
الواجب,positive,,,
امانه,positive,,,
امير,positive,,,
انجازات,positive,,,
انصار,positive,,,
انصرت,positive,,,
انصره,positive,,,
انصرهم,positive,,,
انقذها,positive,,,
ايدتها,positive,,,
بالايجابيه,positive,,,
بالحق,positive,,,
بالخير,positive,,,
بالشهاده,positive,,,
بالنصر,positive,,,
بانتصارات,positive,,,
بحفاوه,positive,,,
بدعم,positive,,,
برئ,positive,,,
بعزه,positive,,,
بنصرك,positive,,,
بنعم,positive,,,
بوسام,positive,,,
تبرئ,positive,,,
تبرئه,positive,,,
تتحرر,positive,,,
تتضامن,positive,,,
تتقدم,positive,,,
تحبه,positive,,,
تحرر,positive,,,
تحفظها,positive,,,
تزف,positive,,,
تشتاق,positive,,,
تشتاقله,positive,,,
تشرفت,positive,,,
تصدى,positive,,,
تضامن,positive,,,
تضامنا,positive,,,
تضامنت,positive,,,
تضامنكم,positive,,,
تطهر,positive,,,
تطهير,positive,,,
تفرج,positive,,,
تكريما,positive,,,
تنتصر,positive,,,
تنصر,positive,,,
ثبتهم,positive,,,
ثقل,positive,,,
جنات,positive,,,
حرا,positive,,,
حكمته,positive,,,
حليفكم,positive,,,
حماه,positive,,,
حمايه,positive,,,
حنون,positive,,,
ذخر,positive,,,
رحمته,positive,,,
رخا,positive,,,
رزينه,positive,,,
رضاك,positive,,,
رعاك,positive,,,
رفع,positive,,,
سعادته,positive,,,
سعدا,positive,,,
سلام,positive,,,
سينتصر,positive,,,
شجاعته,positive,,,
شرفت,positive,,,
شعله,positive,,,
شهادته,positive,,,
شهامه,positive,,,
شهدائنا,positive,,,
شهيد,positive,,,
شهيدا,positive,,,
صامدين,positive,,,
صبرا,positive,,,
صمودنا,positive,,,
صواب,positive,,,
طهرنا,positive,,,
طوبى,positive,,,
عزه,positive,,,
عزيز,positive,,,
عزيزا,positive,,,
عشت,positive,,,
عظمته,positive,,,
عظمتهم,positive,,,
عوضهم,positive,,,
فانتصر,positive,,,
فرج,positive,,,
فرجا,positive,,,
قائدنا,positive,,,
قواهم,positive,,,
قياديه,positive,,,
كرامتنا,positive,,,
لابطال,positive,,,
لبيك,positive,,,
لتطوير,positive,,,
لحمايه,positive,,,
لسلام,positive,,,
للخب,positive,,,
للشهيد,positive,,,
للفخامه,positive,,,
للمبدعه,positive,,,
للوفاء,positive,,,
لنتحد,positive,,,
لنصرت,positive,,,
لنصره,positive,,,
متضامن,positive,,,
متضامنه,positive,,,
متوازنه,positive,,,
مجاهد,positive,,,
محاسن,positive,,,
محبوبتي,positive,,,
مخلص,positive,,,
مدحه,positive,,,
مستبشرا,positive,,,
منعم,positive,,,
ميزه,positive,,,
ناصر,positive,,,
ناصركم,positive,,,
نبيله,positive,,,
نحمد,positive,,,
نحييكم,positive,,,
ندعوا,positive,,,
نشاما,positive,,,
نشامه,positive,,,
نشكو,positive,,,
نصرا,positive,,,
نصره,positive,,,
نضالا,positive,,,
نفدي,positive,,,
نقا,positive,,,
نقاء,positive,,,
نقتخر,positive,,,
نقيه,positive,,,
ننصر,positive,,,
هنئا,positive,,,
هنيا,positive,,,
واثق,positive,,,
اجلال,positive,,,
احفظه,positive,,,
ارزق,positive,,,
اغفر,positive,,,
السخا,positive,,,
ترضاه,positive,,,
رعاكم,positive,,,
رعاه,positive,,,
رفاهيه,positive,,,
سلاما,positive,,,
طهر,positive,,,
عزا,positive,,,
عزتها,positive,,,
عزمها,positive,,,
عزوتنا,positive,,,
وفقكم,positive,,,
وفقنا,positive,,,
وفيه,positive,,,
قدوتنا,positive,,,
كرامتها,positive,,,
مغفرته,positive,,,
نؤيد,positive,,,
وفقه,positive,,,
يحفظنا,positive,,,
يحفظهم,positive,,,
يرحم,positive,,,
يرضاه,positive,,,
يرعاه,positive,,,
يعزه,positive,,,
ينصره,positive,,,
ينصرهم,positive,,,
يبرا,positive,,,
يبشركم,positive,,,
يحتفلون,positive,,,
يحفظها,positive,,,
يرحمه,positive,,,
يرزقون,positive,,,
يسامحنا,positive,,,
يشرف,positive,,,
يغفر,positive,,,
يغنمون,positive,,,
يقوي,positive,,,
يقويهم,positive,,,
يشكرونها,positive,,,
احب,positive,,,
احترام,positive,,,
افضل,positive,,,
الحلوين,positive,,,
الحماس,positive,,,
الحمدلله,positive,,,
السعاده,positive,,,
حلو,positive,,,
ساره,positive,,,
شكرا,positive,,,
فرحه,positive,,,
مباركه,positive,,,
مبروك,positive,,,
مزز,positive,,,
يشكر,positive,,,
الفوز,positive,,,
يعشقون,positive,,,
عاجبتني,positive,,,
يفوز,positive,,,
يفوزون,positive,,,
سكر,positive,,,
تحسين,positive,,,
تعاون,positive,,,
حظ,positive,,,
فاز,positive,,,
فوز,positive,,,
نستانس,positive,,,
اتفق,positive,,,
احترام,positive,,,
اصدق,positive,,,
اصدقائي,positive,,,
اشتقت,positive,,,
اسلامي,positive,,,
ارقصوا,positive,,,
احدث,positive,,,
اجره,positive,,,
اتمنى,positive,,,
اهلا,positive,,,
حل,positive,,,
رعاك,positive,,,
رقصه,positive,,,
لعيونك,positive,,,
نفتحر,positive,,,
يس,positive,,,
ارقص,positive,,,
اصدقائي,positive,,,
الفوز,positive,,,
لاخواننا,positive,,,
لاصدقائي,positive,,,
من القلب,positive,,,
مبارك,positive,,,
ترى النور,positive,,,
اخوانهم,positive,,,
فردوسه,positive,,,
الصميم,positive,,,
ميروك,positive,,,
نبضا,positive,,,
مهرجان,positive,,,
ممتاز,positive,,,
لعيون,positive,,,
فوز,positive,,,
دعواتكم,positive,,,
اهلا,positive,,,
